tipo,viviendas,precio,direccion,terreno
Apartamento En Renta,Apatamento En Alquiler Conjunto Residencial Agua Clara Vista En Lecheria,$300,"Arismendi, Diego Bautista Urbaneja, Lechería, Anzoategui",65
Apartamento En Venta,Lujoso Apartamento Dúplex En Planta Baja Condominio Isla Marina,$245.000,"Avenida La Costa, Diego Bautista Urbaneja, Lechería, Anzoategui",194
Terreno En Venta,TERRENO EN VENTA,$330.000,"Calle Sur 4, Diego Bautista Urbaneja, Lechería, Anzoategui",1.301
Casa En Venta,"Amplia Casa Equipada Y Amoblada En Una Excelente Zona, Muy Bien Ubicada",$295.000,"Neveri, Diego Bautista Urbaneja, Lechería, Anzoategui",509
Apartamento En Venta,Lujoso Apartamento En Venta En El Conjunto Residential Doral Beach,$42.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",120
Apartamento En Venta,Apartamento En Venta En Lechería A Estrenar En El Prestigioso CR. Casa Mares,$145.000,"Av. Principal de Lechería, Diego Bautista Urbaneja, Lechería, Anzoategui",96
Penthouse En Venta,"Espacioso E Imponente PENTHOUSE En Residencias Oasis, Casco Central De Lechería",$250.000,"Calle Merey, Diego Bautista Urbaneja, Lechería, Anzoategui",375
Apartamento En Venta,Apartamento En Lechería En El CR Costa Guaica,$55.000,"Costanera, Diego Bautista Urbaneja, Lechería, Anzoategui",86
Local En Renta,Local A Pie De Calle Lechería,$300,"Venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",30
Oficinas En Venta,Oficina En Lechería,$31.000,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",26
Local En Venta,Oficina En Venta Lechería,$38.000,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",29
Oficinas En Renta,Oficina Lechería Alquiler,$400,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",29
Town House En Renta,TOWN HOUSE EN ALQUILER EN PUERTO PRINCIPE,$550,"Avenida Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",120
Apartamento En Venta,"Apartamento C.R Alto Atlantis, Las Garzas",$40.000,"Calle Sur 4, Sector Las Garzas, Diego Bautista Urbaneja, Lechería, Anzoategui",72
Apartamento En Venta,En Venta Apartamento En El Conjunto Residencial Morro Humboldt,$25.000,"avenida camejo octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",83
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA CR KYNAKI,$450,"Av Bolivar, Diego Bautista Urbaneja, Lechería, Anzoategui",95
Oficinas En Venta,Moderna Oficina En Centro Comercial Venezuela Centro Lecheria,$45.000,"venezuela, Diego Bautista Urbaneja, Lechería, Anzoategui",33
Casa En Renta,Cómoda Y Acogedora Villa En Alquiler Vacacional,$1.000,"Av Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",1.200
Apartamento En Renta,Moderno Apartamento Ubicado En El C.R Guaica Real,$450,"Calle Peñonal, Diego Bautista Urbaneja, Lechería, Anzoategui",85
Apartamento En Renta,APARTAMENTO EN ALQUILER EN LECHERIA CR PEDREGAL SUITES,$250,"Sector Peñon del Faro, Diego Bautista Urbaneja, Lechería, Anzoategui",40
Apartamento En Venta,APARTAMENTO EN VENTA EN LECHERIA CR PUERTO AVENTURA,$83.000,"AV R-16, Diego Bautista Urbaneja, Lechería, Anzoategui",118
Apartamento En Renta,APARTAMENTO EN ALQUILER CR OASIS,$800,"VENECIA, Diego Bautista Urbaneja, Lechería, Anzoategui",94
Casa Bote En Renta,Casa Bote C,$700,"Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",120
Apartamento En Venta,CONJUNTO RESIDENCIAL DORAL BEACH,$24.000,"AVENIDA AMERICO VESPUCIO, Diego Bautista Urbaneja, Lechería, Anzoategui",95
Apartamento En Venta,"Apartamento Conjunto Res. Aquamarina Suites, Av. Bolivar, Lecheria",$79.000,"Av. B, Diego Bautista Urbaneja, Lechería, Anzoategui",109
Casa En Venta,"Venta De Hermosa Casas Botes C, Lechería, Complejo Turístico El Morro",$170.000,"Av. Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",206
Apartamento En Venta,En Venta Apartamento En Marina Del Rey,$80.000,"MARINA DEL REY, Diego Bautista Urbaneja, Lechería, Anzoategui",55
Apartamento En Venta,En Venta Apartamento En Marina Del Rey,$70.000,"MARINA DEL REY, Diego Bautista Urbaneja, Lechería, Anzoategui",66
Town House En Venta,Town House En C.R Costa Del Sol,$170.000,"Calle Principal, Diego Bautista Urbaneja, Lechería, Anzoategui",135
Apartamento En Venta,Apartamento En El Conjunto Residencial Marina Del Rey,$43.000,"Av. Americo Vespucio, Diego Bautista Urbaneja, Lechería, Anzoategui",66
Casa En Venta,Lujosa Villa En Venta,$1.300.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",800
Apartamento En Venta,EXCLUSIVO APARTAMENTO EN VENTA. EL MORRO,$350.000,"Diego Bautista Urbaneja, Lechería, Anzoategui",165
Casa En Venta,Amplia Casa Conjunto Residencial Guaica House Sector Morro IIILecheria,$125.000,"Morro III, Diego Bautista Urbaneja, Lechería, Anzoategui",150
Apartamento En Renta,Cómodo Y Lindo Apartamento En Alquiler En Guaica Real,$500,"Diego Bautista Urbaneja, Lechería, Anzoategui",86
Town House En Venta,Amplio Y Confortable Townhause En El Conjunto Residencial Villas Monterrey,$110.000,"Calle Mara, Diego Bautista Urbaneja, Lechería, Anzoategui",0
Casa En Venta,Casas Bote C Moderna Y Amoblada,$420.000,"Av. Daniel Camejo Octavio, Diego Bautista Urbaneja, Lechería, Anzoategui",200
Apartamento En Venta,"Apartamento En Venta, Conjunto Residencial Mochima Puerto La Cruz",$18.500,"APAMATES, Diego Bautista Urbaneja, Lechería, Anzoategui",81
